Id Domanda;Domanda;Risposta giusta;Risposta sbagliata 1;Risposta sbagliata 2;Risposta sbagliata 3;Peso domanda
49;Come si dichiara un puntatore a un intero in C?;int *p;int p&;int &p;ptr int p;1
50;Quale direttiva impedisce l'inclusione multipla di un file header?;#ifndef (con header guard);#include;#pragma message;#define;1
51;Cosa permette di creare un 'template' in C++?;Funzioni e classi generiche indipendenti dal tipo di dato;Variabili globali protette;Macro del preprocessore più veloci;Interfacce grafiche;1
52;In una funzione template, come viene solitamente specificato il tipo di dato?;Tramite un parametro di tipo (es. <class T> o <typename T>);Usando il tipo void *;Definendo una macro #define;Dichiarando la variabile come static;1
53;Qual è la restrizione principale delle funzioni template rispetto a quelle sovraccaricate?;Devono eseguire la stessa logica per tutti i tipi di dati;Non possono accettare parametri costanti;Devono essere dichiarate come friend;Non possono restituire valori;1
54;Cosa succede se un'eccezione viene lanciata ma non catturata da alcun blocco catch?;Viene chiamata la funzione terminate();Il programma ignora l'errore e continua;La variabile viene azzerata;Viene eseguito un riavvio del sistema;1
55;Qual è l'ordine corretto dei blocchi catch quando si gestiscono classi base e derivate?;La classe derivata deve precedere la classe base;La classe base deve precedere la classe derivata;L'ordine è del tutto irrilevante;Non si possono catturare classi derivate;1
56;Cosa fa l'istruzione 'throw;' senza argomenti all'interno di un blocco catch?;Rilancia l'eccezione corrente al modulo esterno;Termina immediatamente il programma;Azzera lo stato del flusso I/O;Cattura tutte le eccezioni pendenti;1
57;Quale header è necessario per utilizzare i manipolatori I/O con parametri come setw()?;<iomanip>;<iostream>;<fstream>;<cstdlib>;1
58;Perché gli operatori << e >> sovraccaricati per una classe non possono essere membri della classe stessa?;Il primo operando è uno stream, non un oggetto della classe;C++ proibisce il sovraccarico di operatori di I/O;Richiederebbero troppa memoria;Devono essere sempre dichiarati come static;1
59;A cosa serve la funzione 'gcount()' negli stream di input?;Restituisce il numero di caratteri letti dall'ultima operazione binaria;Conta quante volte un file è stato aperto;Verifica se il file è vuoto;Restituisce la dimensione totale del file;1
60;Quale funzione permette di spostare il puntatore di lettura in un file?;seekg();seekp();tellg();flush();1
61;Cosa restituisce l'operatore 'typeid'?;Un riferimento a un oggetto type_info;L'indirizzo di memoria della classe;La dimensione della classe in byte;Un puntatore alla funzione main;1
62;Quale operatore di cast viene usato per conversioni sicure lungo una gerarchia polimorfica?;dynamic_cast;static_cast;reinterpret_cast;const_cast;1
63;Quale operatore di cast è l'unico in grado di rimuovere l'attributo 'const'?;const_cast;dynamic_cast;static_cast;reinterpret_cast;1
64;Cosa accade se si applica typeid a un puntatore nullo dereferenziato?;Viene lanciata un'eccezione bad_typeid;Il programma crasha immediatamente;Restituisce il tipo void;Il risultato è un puntatore a NULL;1
65;Qual è lo scopo principale di un 'namespace'?;Evitare collisioni tra nomi in progetti di grandi dimensioni;Aumentare la velocità di esecuzione;Nascondere il codice sorgente;Creare variabili che non consumano memoria;1
66;Cosa indica un 'unnamed namespace' (namespace senza nome)?;I nomi al suo interno sono locali al file corrente;Il namespace è accessibile da tutto il progetto;I nomi sono visibili solo all'interno del compilatore;Il namespace viene eliminato dopo il primo utilizzo;1
67;In C++, cos'è una "conversione di funzione" (conversion function)?;Un operatore membro che converte un oggetto in un altro tipo;Una funzione che cambia il nome delle variabili;Una macro che trasforma C in C++;Un metodo per cambiare il valore di ritorno di main;1
68;Cosa indica la keyword 'explicit' applicata a un costruttore?;Impedisce l'uso del costruttore per conversioni implicite;Obbliga il compilatore a eseguire l'inlining;Permette al costruttore di restituire un valore;Dichiara che il costruttore è definito esternamente;1
69;Qual è la differenza principale tra 'std::vector' e un array classico?;Il vector può crescere dinamicamente durante l'esecuzione;Il vector non supporta l'accesso tramite indici [];L'array classico è più sicuro dal punto di vista dei tipi;Il vector funziona solo con tipi integrali;1
70;Cosa restituisce la funzione 'end()' di un container STL?;Un iteratore che punta "uno oltre" l'ultimo elemento;Un puntatore all'ultimo elemento;La dimensione massima del container;Il valore numerico zero;1
71;Quale container STL è ottimizzato per inserimenti e cancellazioni frequenti in qualsiasi posizione?;list;vector;deque;stack;1
72;In un 'map' della STL, come sono memorizzati gli elementi?;Come coppie chiave/valore ordinate per chiave;In ordine cronologico di inserimento;In modo casuale per risparmiare spazio;In una lista collegata singola;1
73;Cos'è un "predicato" nella terminologia degli algoritmi STL?;Una funzione che restituisce un valore booleano;Una variabile che conta le iterazioni;Un tipo di dato per gestire errori;Una macro per il calcolo matematico;1
74;Quale algoritmo STL viene usato per ordinare un range?;sort();find();search();replace();1
75;Cosa fa l'algoritmo 'transform()'?;Applica una funzione a un range e salva il risultato in una sequenza;Cambia il tipo di dato di tutti gli elementi;Elimina gli elementi duplicati;Inverte l'ordine degli elementi;1
76;Quale classe della STL è dedicata alla manipolazione di stringhe come oggetti?;std::string;std::char_array;std::cstring;std::text;1
77;Qual è la caratteristica distintiva di un 'deque'?;Supporta inserimenti e cancellazioni efficienti a entrambe le estremità;È una lista che può essere letta solo in avanti;Permette solo l'accesso casuale;Non supporta gli iteratori;1
78;Cosa sono gli "oggetti funzione" (functors)?;Classi che sovraccaricano l'operatore parentesi tonde ();Puntatori a funzioni globali;Macro che simulano oggetti;Oggetti che non hanno metodi;1
79;A cosa serve il manipolatore 'boolalpha'?;Visualizza i valori bool come "true" o "false" invece di 1 o 0;Converte una stringa in booleano;Forza il valore di una variabile a true;Svuota il buffer di input;1
80;Quale funzione della libreria C (<cmath>) calcola la radice quadrata?;sqrt();pow();root();ceil();1
81;Cosa restituisce la funzione 'strlen()' in C?;La lunghezza di una stringa escluso il terminatore null;La dimensione totale dell'array di caratteri;La posizione del primo spazio;Il numero di bit della stringa;1
82;Quale funzione C viene usata per chiudere un file?;fclose();close();endfile();exit();1
83;In C, cosa restituisce 'fopen()' in caso di errore?;NULL;EOF;0;-1;1
84;Qual è lo scopo della direttiva '#ifndef'?;Compilare il codice solo se una macro NON è definita;Includere un file se esiste;Cancellare una definizione precedente;Forzare un errore di compilazione;1
85;Cosa sono i 'trigrafi' in C?;Sequenze di tre caratteri che rappresentano un singolo carattere speciale;Tipi di dati con tre valori possibili;Funzioni con tre parametri;Errori di sintassi molto gravi;1
86;Quale funzione converte una stringa in un intero (tipo int)?;atoi();atof();atol();itoa();1
87;Qual è la funzione di 'qsort()'?;Eseguire un ordinamento veloce su un array;Cercare un elemento in una lista;Uscire dal programma in modo sicuro;Allocare memoria rapidamente;1
88;In C++, cosa fa l'operatore '::'?;Risoluzione dell'ambito (scope resolution);Accesso ai membri di un oggetto tramite puntatore;Incremento di una variabile;Concatenazione di stringhe;1
89;Qual è l'header per le funzioni matematiche complesse in C++?;<complex>;<math.h>;<cmath>;<numbers>;1
90;Cosa permette di fare la classe 'std::valarray'?;Operazioni vettoriali efficienti su array numerici;Gestire stringhe di lunghezza variabile;Creare interfacce grafiche;Allocare memoria in modo casuale;1
91;In un 'map', cosa succede se si tenta di inserire una chiave già esistente tramite insert()?;L'inserimento fallisce e la mappa rimane invariata;La nuova coppia sovrascrive la precedente;Viene lanciata un'eccezione;Il programma termina;1
92;Cosa indica la keyword 'mutable'?;Permette la modifica di un membro anche in un oggetto const;Rende una variabile visibile globalmente;Indica che una funzione può cambiare nome;Dichiara un array di dimensione variabile;1
93;In C++, come si specifica una funzione virtuale pura?;Aggiungendo "= 0" alla fine della dichiarazione;Usando la keyword pure;Dichiarandola nel namespace std;Lasciando il corpo della funzione vuoto {};1
94;Qual è il ruolo del puntatore 'this'?;Punta all'oggetto che ha invocato la funzione membro;Punta alla classe base;Punta all'area di memoria dello stack;Contiene l'indirizzo del distruttore;1
95;Cosa significa che un'operazione è 'atomica'?;Viene eseguita senza interruzioni da altri thread;Consuma pochissima energia;Viene eseguita solo dal processore;Non può essere annullata;1
96;Cosa fa l'algoritmo STL 'accumulate()';Calcola la somma (o una riduzione) di un range di elementi;Moltiplica tutti gli elementi tra loro;Copia un range in un altro;Trova il valore massimo;1
97;Qual è lo scopo del manipolatore 'setw(n)'?;Imposta la larghezza del campo per la prossima operazione di output;Cambia la precisione dei decimali;Allinea il testo a sinistra;Sostituisce gli spazi con zeri;1
98;Quale iteratore permette di scorrere un container in direzione opposta?;reverse_iterator;forward_iterator;bidirectional_iterator;random_iterator;1
99;Cosa succede quando si chiama 'delete' su un puntatore a un oggetto?;Viene richiamato il distruttore e la memoria viene liberata;L'oggetto viene azzerato ma la memoria resta occupata;Viene lanciata un'eccezione di sicurezza;Il puntatore viene impostato a nullptr automaticamente;1
100;In C++, cos'è una 'abstract class'?;Una classe con almeno una funzione virtuale pura;Una classe che non ha attributi;Una classe definita nel preprocessore;Una classe che non può avere classi derivate;1
